framecount,timestamp,speed,angle,dir
1,20240813_175945106515,0,-100,1.png
2,20240813_175945113552,0,-100,2.png
3,20240813_175945147191,0,-100,3.png
4,20240813_175945213029,0,-100,4.png
5,20240813_175945279623,0,-100,5.png
6,20240813_175945345696,0,-100,6.png
7,20240813_175945412064,0,-100,7.png
8,20240813_175945478742,0,-100,8.png
9,20240813_175945544786,0,-100,9.png
10,20240813_175945611255,0,-100,10.png
11,20240813_175945677185,0,-100,11.png
12,20240813_175945743874,0,-100,12.png
13,20240813_175945810013,0,-100,13.png
14,20240813_175945876333,0,-100,14.png
15,20240813_175945942788,0,-100,15.png
16,20240813_175946009632,0,-100,16.png
17,20240813_175946075960,0,-100,17.png
18,20240813_175946142133,0,-100,18.png
19,20240813_175946208506,0,-100,19.png
20,20240813_175946274321,0,-100,20.png
21,20240813_175946340734,0,-100,21.png
22,20240813_175946407060,0,-100,22.png
23,20240813_175946473630,0,-100,23.png
24,20240813_175946539658,0,-100,24.png
25,20240813_175946606521,0,-100,25.png
26,20240813_175946672922,0,-100,26.png
27,20240813_175946738698,0,-100,27.png
28,20240813_175946804979,0,-100,28.png
29,20240813_175946872285,0,-100,29.png
30,20240813_175946938585,0,-100,30.png
31,20240813_175947005056,0,-100,31.png
32,20240813_175947071328,0,-100,32.png
33,20240813_175947137799,0,-100,33.png
34,20240813_175947204145,0,-100,34.png
35,20240813_175947270518,0,-100,35.png
36,20240813_175947336847,0,-100,36.png
37,20240813_175947403358,0,-100,37.png
38,20240813_175947469589,0,-100,38.png
39,20240813_175947535914,0,-100,39.png
40,20240813_175947602386,0,-100,40.png
41,20240813_175947668587,0,-100,41.png
42,20240813_175947734902,0,-100,42.png
43,20240813_175947801228,0,-100,43.png
44,20240813_175947867596,0,-100,44.png
45,20240813_175947933918,0,-100,45.png
46,20240813_175948000272,0,-100,46.png
47,20240813_175948066616,0,-100,47.png
48,20240813_175948132971,0,-100,48.png
49,20240813_175948199316,0,-100,49.png
50,20240813_175948265621,0,-100,50.png
51,20240813_175948331984,0,-100,51.png
52,20240813_175948398439,0,-100,52.png
53,20240813_175948464894,0,-100,53.png
54,20240813_175948531358,0,-100,54.png
55,20240813_175948597585,-7,-100,55.png
56,20240813_175948664219,-7,-100,56.png
57,20240813_175948730506,-24,-100,57.png
58,20240813_175948796965,-36,-100,58.png
59,20240813_175948863056,-31,-100,59.png
60,20240813_175948929384,0,-100,60.png
61,20240813_175948995676,0,-100,61.png
62,20240813_175949062245,0,-100,62.png
63,20240813_175949129395,0,-100,63.png
64,20240813_175949195344,0,-100,64.png
65,20240813_175949261843,0,-100,65.png
66,20240813_175949327618,0,-100,66.png
67,20240813_175949393875,0,-100,67.png
68,20240813_175949460334,0,-100,68.png
69,20240813_175949526485,0,-100,69.png
70,20240813_175949592800,0,-100,70.png
71,20240813_175949659148,0,-100,71.png
72,20240813_175949725374,0,-100,72.png
73,20240813_175949791726,0,-100,73.png
74,20240813_175949858004,0,-100,74.png
75,20240813_175949924440,0,-100,75.png
76,20240813_175949998034,0,-100,76.png
77,20240813_175950064379,0,-100,77.png
78,20240813_175950130764,0,-100,78.png
79,20240813_175950197721,0,-100,79.png
80,20240813_175950263657,0,-100,80.png
81,20240813_175950329938,0,-100,81.png
82,20240813_175950396394,-59,-100,82.png
83,20240813_175950462560,-59,-100,83.png
84,20240813_175950528876,-59,-100,84.png
85,20240813_175950595460,-59,-100,85.png
86,20240813_175950661617,-59,-100,86.png
87,20240813_175950727955,-59,-100,87.png
88,20240813_175950794286,0,-100,88.png
89,20240813_175950860488,0,-100,89.png
90,20240813_175950926749,0,-100,90.png
91,20240813_175950993064,0,-100,91.png
92,20240813_175951059510,0,-100,92.png
93,20240813_175951125819,0,-100,93.png
94,20240813_175951192114,0,-100,94.png
95,20240813_175951258658,0,-100,95.png
96,20240813_175951325058,0,-100,96.png
97,20240813_175951391238,0,-100,97.png
98,20240813_175951457585,0,-100,98.png
99,20240813_175951523958,0,-100,99.png
100,20240813_175951590261,0,-100,100.png
101,20240813_175951656766,0,-100,101.png
102,20240813_175951723147,-10,-100,102.png
103,20240813_175951789468,0,-100,103.png
104,20240813_175951855457,0,-100,104.png
105,20240813_175951921768,0,-100,105.png
106,20240813_175951988125,0,-100,106.png
107,20240813_175952054526,0,-100,107.png
108,20240813_175952121455,0,-100,108.png
109,20240813_175952187207,0,-100,109.png
110,20240813_175952253628,0,-100,110.png
111,20240813_175952319993,0,-100,111.png
112,20240813_175952386350,0,-100,112.png
113,20240813_175952452626,0,-100,113.png
114,20240813_175952518894,0,-100,114.png
115,20240813_175952585193,0,-100,115.png
116,20240813_175952651501,0,-100,116.png
117,20240813_175952717941,0,-100,117.png
118,20240813_175952784261,0,-100,118.png
119,20240813_175952850601,0,-100,119.png
120,20240813_175952916921,0,-38,120.png
121,20240813_175952983544,59,99,121.png
122,20240813_175953050334,59,99,122.png
123,20240813_175953116931,59,99,123.png
124,20240813_175953182589,59,99,124.png
125,20240813_175953248910,59,99,125.png
126,20240813_175953315333,59,99,126.png
127,20240813_175953381679,0,-93,127.png
128,20240813_175953447763,0,-100,128.png
129,20240813_175953514149,0,-100,129.png
130,20240813_175953580690,0,-100,130.png
