framecount,timestamp,speed,angle,dir
1,20240820_161056117653,59,0,1.png
2,20240820_161056131506,59,0,2.png
3,20240820_161056146042,59,0,3.png
4,20240820_161056159482,59,0,4.png
5,20240820_161056174699,59,0,5.png
6,20240820_161056185106,59,0,6.png
7,20240820_161056194716,59,0,7.png
8,20240820_161056209797,59,0,8.png
9,20240820_161056243580,59,0,9.png
10,20240820_161056277121,59,0,10.png
11,20240820_161056310520,59,0,11.png
12,20240820_161056344224,59,0,12.png
13,20240820_161056377770,59,0,13.png
14,20240820_161056412045,59,0,14.png
15,20240820_161056444896,59,0,15.png
16,20240820_161056478415,59,0,16.png
17,20240820_161056511772,59,0,17.png
18,20240820_161056545536,59,0,18.png
19,20240820_161056581191,59,0,19.png
20,20240820_161056615285,59,0,20.png
21,20240820_161056648895,59,0,21.png
22,20240820_161056685881,59,0,22.png
23,20240820_161056719040,59,0,23.png
24,20240820_161056752996,59,0,24.png
25,20240820_161056786090,59,0,25.png
26,20240820_161056819849,59,0,26.png
27,20240820_161056854066,59,0,27.png
28,20240820_161056887358,59,0,28.png
29,20240820_161056920933,59,0,29.png
30,20240820_161056953832,59,0,30.png
31,20240820_161056990282,59,0,31.png
32,20240820_161057025418,59,0,32.png
33,20240820_161057057776,59,0,33.png
34,20240820_161057091354,59,0,34.png
35,20240820_161057125475,59,0,35.png
36,20240820_161057159127,59,0,36.png
37,20240820_161057193099,59,0,37.png
38,20240820_161057225956,59,0,38.png
39,20240820_161057259915,59,0,39.png
40,20240820_161057307825,59,-3,40.png
41,20240820_161057342741,59,0,41.png
42,20240820_161057375410,59,0,42.png
43,20240820_161057408975,59,0,43.png
44,20240820_161057445499,59,0,44.png
45,20240820_161057478349,59,0,45.png
46,20240820_161057511623,59,0,46.png
47,20240820_161057545540,59,0,47.png
48,20240820_161057581395,59,0,48.png
49,20240820_161057614924,59,-41,49.png
50,20240820_161057648550,59,-100,50.png
51,20240820_161057682433,59,-100,51.png
52,20240820_161057715446,59,-100,52.png
53,20240820_161057749030,59,0,53.png
54,20240820_161057782342,59,0,54.png
55,20240820_161057815844,59,0,55.png
56,20240820_161057849623,59,0,56.png
57,20240820_161057883145,59,0,57.png
58,20240820_161057918906,59,0,58.png
59,20240820_161057951923,59,0,59.png
60,20240820_161057985575,59,0,60.png
61,20240820_161058018894,59,0,61.png
62,20240820_161058063304,59,0,62.png
63,20240820_161058097005,59,0,63.png
64,20240820_161058130699,59,0,64.png
65,20240820_161058165705,59,0,65.png
66,20240820_161058199148,59,0,66.png
67,20240820_161058232636,59,0,67.png
68,20240820_161058266359,59,0,68.png
69,20240820_161058299843,59,0,69.png
70,20240820_161058333065,59,0,70.png
71,20240820_161058366470,59,0,71.png
72,20240820_161058400151,59,0,72.png
73,20240820_161058433769,59,0,73.png
74,20240820_161058467420,59,0,74.png
75,20240820_161058500901,59,0,75.png
76,20240820_161058540335,59,0,76.png
77,20240820_161058573465,59,0,77.png
78,20240820_161058607069,59,0,78.png
79,20240820_161058641039,59,0,79.png
80,20240820_161058674760,59,0,80.png
81,20240820_161058707774,59,0,81.png
82,20240820_161058777755,59,0,82.png
83,20240820_161058811441,59,0,83.png
84,20240820_161058845012,59,0,84.png
85,20240820_161058878510,59,0,85.png
86,20240820_161058911900,59,0,86.png
87,20240820_161058945513,59,0,87.png
88,20240820_161058979218,59,0,88.png
89,20240820_161059012599,59,0,89.png
90,20240820_161059046834,59,0,90.png
91,20240820_161059080383,59,0,91.png
92,20240820_161059114231,59,0,92.png
93,20240820_161059147588,59,0,93.png
94,20240820_161059181106,59,0,94.png
95,20240820_161059214666,59,0,95.png
96,20240820_161059248018,59,0,96.png
97,20240820_161059282028,59,0,97.png
98,20240820_161059315708,59,-28,98.png
99,20240820_161059350369,59,-41,99.png
100,20240820_161059383119,59,-41,100.png
101,20240820_161059419359,59,-40,101.png
102,20240820_161059457989,59,-39,102.png
103,20240820_161059491649,59,0,103.png
104,20240820_161059525494,59,0,104.png
105,20240820_161059559259,59,0,105.png
106,20240820_161059592618,59,0,106.png
107,20240820_161059627679,59,0,107.png
108,20240820_161059660109,59,0,108.png
109,20240820_161059694380,59,0,109.png
110,20240820_161059735269,59,0,110.png
111,20240820_161059768851,59,0,111.png
112,20240820_161059802552,59,0,112.png
113,20240820_161059836423,59,0,113.png
114,20240820_161059869985,59,0,114.png
115,20240820_161059907514,59,0,115.png
116,20240820_161059942901,59,0,116.png
117,20240820_161059976416,59,0,117.png
118,20240820_161100010991,59,0,118.png
119,20240820_161100047046,59,0,119.png
120,20240820_161100078001,59,0,120.png
121,20240820_161100111082,59,0,121.png
122,20240820_161100144774,59,0,122.png
123,20240820_161100178514,59,0,123.png
124,20240820_161100211854,59,0,124.png
125,20240820_161100245394,59,-52,125.png
126,20240820_161100279159,59,-72,126.png
127,20240820_161100312825,59,-69,127.png
128,20240820_161100347075,59,0,128.png
129,20240820_161100379941,59,0,129.png
130,20240820_161100413362,59,0,130.png
131,20240820_161100447025,59,0,131.png
132,20240820_161100480480,59,0,132.png
133,20240820_161100514170,59,0,133.png
134,20240820_161100547401,59,0,134.png
135,20240820_161100580950,59,0,135.png
136,20240820_161100614308,59,0,136.png
137,20240820_161100648730,59,0,137.png
138,20240820_161100684954,59,0,138.png
139,20240820_161100718396,59,0,139.png
140,20240820_161100752126,59,0,140.png
141,20240820_161100785447,59,0,141.png
142,20240820_161100818835,59,0,142.png
143,20240820_161100852626,59,0,143.png
144,20240820_161100886458,59,0,144.png
145,20240820_161100919732,59,0,145.png
146,20240820_161100953561,59,-32,146.png
147,20240820_161100988099,59,-39,147.png
148,20240820_161101021921,59,-39,148.png
149,20240820_161101064061,59,-39,149.png
150,20240820_161101098023,59,-39,150.png
151,20240820_161101131936,59,-37,151.png
152,20240820_161101166297,59,-20,152.png
153,20240820_161101199814,59,0,153.png
154,20240820_161101233756,59,0,154.png
155,20240820_161101267104,59,0,155.png
156,20240820_161101300429,59,0,156.png
157,20240820_161101334088,59,0,157.png
158,20240820_161101367850,59,0,158.png
159,20240820_161101401035,59,-35,159.png
160,20240820_161101434447,59,-55,160.png
161,20240820_161101467964,59,-57,161.png
162,20240820_161101501877,59,-58,162.png
163,20240820_161101536855,59,-58,163.png
164,20240820_161101569279,59,-58,164.png
165,20240820_161101602776,59,-58,165.png
166,20240820_161101640476,59,-58,166.png
167,20240820_161101673782,59,-58,167.png
168,20240820_161101708339,59,-58,168.png
169,20240820_161101741060,59,-58,169.png
170,20240820_161101774826,59,-52,170.png
171,20240820_161101808792,59,-47,171.png
172,20240820_161101842207,59,-47,172.png
173,20240820_161101877227,59,-48,173.png
174,20240820_161101910889,59,-49,174.png
175,20240820_161101944525,59,-54,175.png
176,20240820_161101977981,59,-58,176.png
177,20240820_161102011506,59,-59,177.png
178,20240820_161102045061,59,-59,178.png
179,20240820_161102079106,59,-59,179.png
180,20240820_161102112498,59,-59,180.png
181,20240820_161102146338,59,-59,181.png
