framecount,timestamp,speed,angle,dir
1,20240820_161336377389,59,0,1.png
2,20240820_161336393165,59,0,2.png
3,20240820_161336407428,59,0,3.png
4,20240820_161336420494,59,0,4.png
5,20240820_161336430937,59,0,5.png
6,20240820_161336446957,59,0,6.png
7,20240820_161336460613,59,0,7.png
8,20240820_161336494363,59,0,8.png
9,20240820_161336527899,59,0,9.png
10,20240820_161336561415,59,0,10.png
11,20240820_161336595317,59,0,11.png
12,20240820_161336628936,59,0,12.png
13,20240820_161336662786,59,0,13.png
14,20240820_161336695639,59,0,14.png
15,20240820_161336730933,59,0,15.png
16,20240820_161336764117,59,0,16.png
17,20240820_161336797600,59,0,17.png
18,20240820_161336831522,59,0,18.png
19,20240820_161336865041,59,0,19.png
20,20240820_161336899048,59,23,20.png
21,20240820_161336932767,59,11,21.png
22,20240820_161336966413,59,0,22.png
23,20240820_161337004728,59,0,23.png
24,20240820_161337038255,59,0,24.png
25,20240820_161337073325,59,0,25.png
26,20240820_161337106069,59,0,26.png
27,20240820_161337139653,59,0,27.png
28,20240820_161337173902,59,0,28.png
29,20240820_161337206830,59,0,29.png
30,20240820_161337240704,59,0,30.png
31,20240820_161337274400,59,0,31.png
32,20240820_161337308791,59,0,32.png
33,20240820_161337343204,59,0,33.png
34,20240820_161337375458,59,0,34.png
35,20240820_161337409105,59,0,35.png
36,20240820_161337442899,59,8,36.png
37,20240820_161337476368,59,8,37.png
38,20240820_161337509791,59,8,38.png
39,20240820_161337543661,59,14,39.png
40,20240820_161337577651,59,39,40.png
41,20240820_161337610680,59,71,41.png
42,20240820_161337644255,59,80,42.png
43,20240820_161337678723,59,80,43.png
44,20240820_161337729918,59,78,44.png
45,20240820_161337762917,59,79,45.png
46,20240820_161337796461,59,79,46.png
47,20240820_161337830254,59,41,47.png
48,20240820_161337863885,59,38,48.png
49,20240820_161337900251,59,38,49.png
50,20240820_161337933691,59,38,50.png
51,20240820_161337966971,59,38,51.png
52,20240820_161338000762,59,38,52.png
53,20240820_161338034428,59,39,53.png
54,20240820_161338068486,59,35,54.png
55,20240820_161338102417,59,0,55.png
56,20240820_161338135850,59,0,56.png
57,20240820_161338169628,59,0,57.png
58,20240820_161338203307,59,0,58.png
