framecount,timestamp,speed,angle,dir
1,20240820_161625169649,59,0,1.png
2,20240820_161625181372,59,0,2.png
3,20240820_161625194549,59,0,3.png
4,20240820_161625205165,59,0,4.png
5,20240820_161625213803,59,0,5.png
6,20240820_161625223680,59,0,6.png
7,20240820_161625241185,59,0,7.png
8,20240820_161625275577,59,0,8.png
9,20240820_161625312754,59,0,9.png
10,20240820_161625346216,59,0,10.png
11,20240820_161625380007,59,0,11.png
12,20240820_161625413344,59,0,12.png
13,20240820_161625447145,59,0,13.png
14,20240820_161625480753,59,0,14.png
15,20240820_161625516636,59,0,15.png
16,20240820_161625550733,59,0,16.png
17,20240820_161625584760,59,0,17.png
18,20240820_161625618533,59,-100,18.png
19,20240820_161625652798,59,-100,19.png
20,20240820_161625692136,59,-100,20.png
21,20240820_161625725678,59,-100,21.png
22,20240820_161625759160,59,-100,22.png
23,20240820_161625792883,59,-100,23.png
24,20240820_161625826568,59,-100,24.png
25,20240820_161625860433,59,-100,25.png
26,20240820_161625893889,59,-100,26.png
27,20240820_161625928510,59,-66,27.png
28,20240820_161625961677,59,0,28.png
29,20240820_161625995176,59,0,29.png
30,20240820_161626029167,59,0,30.png
31,20240820_161626063216,59,0,31.png
32,20240820_161626096566,59,0,32.png
33,20240820_161626129839,59,-65,33.png
34,20240820_161626162902,59,-100,34.png
35,20240820_161626196460,59,-100,35.png
36,20240820_161626230047,59,-100,36.png
37,20240820_161626263492,59,-100,37.png
38,20240820_161626297521,59,-100,38.png
39,20240820_161626330711,59,-100,39.png
40,20240820_161626364979,59,-100,40.png
41,20240820_161626397768,59,-100,41.png
42,20240820_161626432731,59,-100,42.png
43,20240820_161626467036,59,-100,43.png
44,20240820_161626500234,59,-87,44.png
45,20240820_161626534319,59,-49,45.png
46,20240820_161626568014,59,-45,46.png
47,20240820_161626601794,59,-48,47.png
48,20240820_161626635277,59,-67,48.png
49,20240820_161626669371,59,-90,49.png
50,20240820_161626702616,59,-100,50.png
51,20240820_161626735708,59,-100,51.png
52,20240820_161626769558,59,-100,52.png
53,20240820_161626803206,59,-100,53.png
54,20240820_161626837206,59,-100,54.png
55,20240820_161626870673,59,-100,55.png
56,20240820_161626904138,59,-100,56.png
57,20240820_161626937881,59,-100,57.png
58,20240820_161626971354,59,-100,58.png
59,20240820_161627005110,59,-100,59.png
60,20240820_161627039940,59,-16,60.png
61,20240820_161627074876,59,0,61.png
62,20240820_161627108677,59,0,62.png
63,20240820_161627142004,59,0,63.png
64,20240820_161627175279,59,0,64.png
65,20240820_161627211253,59,0,65.png
66,20240820_161627245130,59,0,66.png
67,20240820_161627278395,59,0,67.png
68,20240820_161627311835,59,0,68.png
