model_name,error_count
model_bs16_ep25_lr0.0001_lfcustom_loss.keras,107
model_bs16_ep25_lr0.0001_lfhuber.keras,95
model_bs16_ep25_lr0.001_lfcustom_loss.keras,118
model_bs16_ep25_lr0.001_lfhuber.keras,116
model_bs16_ep25_lr0.01_lfcustom_loss.keras,67
model_bs16_ep25_lr0.01_lfhuber.keras,69
model_bs16_ep30_lr0.0001_lfcustom_loss.keras,99
model_bs16_ep30_lr0.0001_lfhuber.keras,100
model_bs16_ep30_lr0.001_lfcustom_loss.keras,101
model_bs16_ep30_lr0.001_lfhuber.keras,108
model_bs16_ep30_lr0.01_lfcustom_loss.keras,72
model_bs16_ep30_lr0.01_lfhuber.keras,83
model_bs16_ep40_lr0.0001_lfcustom_loss.keras,112
model_bs16_ep40_lr0.0001_lfhuber.keras,102
model_bs16_ep40_lr0.001_lfcustom_loss.keras,117
model_bs16_ep40_lr0.001_lfhuber.keras,117
model_bs16_ep40_lr0.01_lfcustom_loss.keras,71
model_bs16_ep40_lr0.01_lfhuber.keras,78
model_bs16_ep50_lr0.0001_lfcustom_loss.keras,96
model_bs16_ep50_lr0.0001_lfhuber.keras,104
model_bs16_ep50_lr0.001_lfcustom_loss.keras,112
model_bs16_ep50_lr0.001_lfhuber.keras,121
model_bs16_ep50_lr0.01_lfcustom_loss.keras,69
model_bs16_ep50_lr0.01_lfhuber.keras,73
model_bs16_ep60_lr0.0001_lfcustom_loss.keras,104
model_bs16_ep60_lr0.0001_lfhuber.keras,102
model_bs16_ep60_lr0.001_lfcustom_loss.keras,113
model_bs16_ep60_lr0.001_lfhuber.keras,101
model_bs16_ep60_lr0.01_lfcustom_loss.keras,72
model_bs16_ep60_lr0.01_lfhuber.keras,75
model_bs32_ep25_lr0.0001_lfcustom_loss.keras,93
model_bs32_ep25_lr0.0001_lfhuber.keras,101
model_bs32_ep25_lr0.001_lfcustom_loss.keras,103
model_bs32_ep25_lr0.001_lfhuber.keras,108
model_bs32_ep25_lr0.01_lfcustom_loss.keras,71
model_bs32_ep25_lr0.01_lfhuber.keras,70
model_bs32_ep30_lr0.0001_lfcustom_loss.keras,106
model_bs32_ep30_lr0.0001_lfhuber.keras,96
model_bs32_ep30_lr0.001_lfcustom_loss.keras,91
model_bs32_ep30_lr0.001_lfhuber.keras,110
model_bs32_ep30_lr0.01_lfcustom_loss.keras,76
model_bs32_ep30_lr0.01_lfhuber.keras,129
model_bs32_ep40_lr0.0001_lfcustom_loss.keras,104
model_bs32_ep40_lr0.0001_lfhuber.keras,96
model_bs32_ep40_lr0.001_lfcustom_loss.keras,93
model_bs32_ep40_lr0.001_lfhuber.keras,109
model_bs32_ep40_lr0.01_lfcustom_loss.keras,74
model_bs32_ep40_lr0.01_lfhuber.keras,75
model_bs32_ep50_lr0.0001_lfcustom_loss.keras,101
model_bs32_ep50_lr0.0001_lfhuber.keras,104
model_bs32_ep50_lr0.001_lfcustom_loss.keras,110
model_bs32_ep50_lr0.001_lfhuber.keras,93
model_bs32_ep50_lr0.01_lfcustom_loss.keras,73
model_bs32_ep50_lr0.01_lfhuber.keras,74
model_bs32_ep60_lr0.0001_lfcustom_loss.keras,104
model_bs32_ep60_lr0.0001_lfhuber.keras,104
model_bs32_ep60_lr0.001_lfcustom_loss.keras,92
model_bs32_ep60_lr0.001_lfhuber.keras,94
model_bs32_ep60_lr0.01_lfcustom_loss.keras,71
model_bs32_ep60_lr0.01_lfhuber.keras,73
model_bs64_ep25_lr0.0001_lfcustom_loss.keras,93
model_bs64_ep25_lr0.0001_lfhuber.keras,93
model_bs64_ep25_lr0.001_lfcustom_loss.keras,110
model_bs64_ep25_lr0.001_lfhuber.keras,99
model_bs64_ep25_lr0.01_lfcustom_loss.keras,88
model_bs64_ep25_lr0.01_lfhuber.keras,94
model_bs64_ep30_lr0.0001_lfcustom_loss.keras,94
model_bs64_ep30_lr0.0001_lfhuber.keras,92
model_bs64_ep30_lr0.001_lfcustom_loss.keras,99
model_bs64_ep30_lr0.001_lfhuber.keras,106
model_bs64_ep30_lr0.01_lfcustom_loss.keras,85
model_bs64_ep30_lr0.01_lfhuber.keras,111
model_bs64_ep40_lr0.0001_lfcustom_loss.keras,90
model_bs64_ep40_lr0.0001_lfhuber.keras,90
model_bs64_ep40_lr0.001_lfcustom_loss.keras,108
model_bs64_ep40_lr0.001_lfhuber.keras,109
model_bs64_ep40_lr0.01_lfcustom_loss.keras,90
model_bs64_ep40_lr0.01_lfhuber.keras,91
model_bs64_ep50_lr0.0001_lfcustom_loss.keras,93
model_bs64_ep50_lr0.0001_lfhuber.keras,102
model_bs64_ep50_lr0.001_lfcustom_loss.keras,102
model_bs64_ep50_lr0.001_lfhuber.keras,119
model_bs64_ep50_lr0.01_lfcustom_loss.keras,100
model_bs64_ep50_lr0.01_lfhuber.keras,77
model_bs64_ep60_lr0.0001_lfcustom_loss.keras,97
model_bs64_ep60_lr0.0001_lfhuber.keras,99
model_bs64_ep60_lr0.001_lfcustom_loss.keras,101
model_bs64_ep60_lr0.001_lfhuber.keras,108
model_bs64_ep60_lr0.01_lfcustom_loss.keras,102
model_bs64_ep60_lr0.01_lfhuber.keras,116
